"ID","CUSTRECORD_COUPA_ACC_DEPT_INCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","NAME","PARENT","SUBSIDIARY","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED","CUSTRECORD_FINANCIAL_STATEMENT_LINE_ITEM","CUSTRECORD_FINANCE_BUSINESS_PARTNER"
"4","T",,"Sales & Business Development","T","T","2022-05-03 22:06:03.000 +0000","Sales & Business Development",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"10","T",,"G&A","T","T","2022-05-03 21:59:06.000 +0000","G&A",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"16","T",,"Development","F","T","2022-05-03 21:54:31.000 +0000","Development",,"1",false,,"2022-06-30 21:53:19.812 +0000",,
"19","T",,"Commercial","T","T","2022-05-03 21:54:16.000 +0000","Commercial",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"31","T",,"Finance: Real Estate & Facility","T","T","2020-05-19 18:46:36.000 +0000","Finance: Real Estate & Facility",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"47","T",,"Risk: Merchant Pricing & Risk","T","T","2020-05-19 18:46:56.000 +0000","Risk: Merchant Pricing & Risk",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"48","T",,"Risk: Cred Prod & Mkt Analytics","T","T","2022-05-03 22:05:24.000 +0000","Risk: Cred Prod & Mkt Analytics",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"53","T",,"Engineering: Bank Eng","T","T","2020-05-19 18:43:01.000 +0000","Engineering: Bank Eng",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"54","T",,"Engineering: Consumer Eng","T","T","2020-05-19 18:43:45.000 +0000","Engineering: Consumer Eng",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"55","T",,"Engineering: Partner Eng","T","T","2020-05-19 18:43:50.000 +0000","Engineering: Partner Eng",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"56","T",,"Engineering: Point of Purchase","T","T","2020-05-19 18:43:55.000 +0000","Engineering: Point of Purchase",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
