"ID","CUSTRECORD_COUPA_LOCATIONSINCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","LATITUDE","LOCATIONTYPE","LONGITUDE","MAINADDRESS","NAME","PARENT","RETURNADDRESS","SUBSIDIARY","TRANPREFIX","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED"
"3",,,"Affirm, Inc.","F","T","2018-12-19 21:38:59.000 +0000",,,,,"Affirm, Inc.",,,"1",,false,,"2023-04-04 16:11:46.887 +0000"
"208","T",,"Salt Lake City","T","F","2023-02-01 21:54:10.000 +0000",,,,"3195148","Salt Lake City",,,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",,false,,"2023-04-05 19:50:30.910 +0000"
"213","T","CARO","United Kingdom : Office - Cardiff (Butter)","T","F","2023-04-05 19:03:25.000 +0000",,,,"3281191","Office - Cardiff (Butter)","212",,"62, 63, 64, 65, 67",,false,,"2023-04-06 11:49:38.892 +0000"
"313","T","AUO","Australia : Office - Sydney","T","F","2023-04-05 19:03:04.000 +0000",,,,"3281291","Office - Sydney","210",,"43",,false,,"2023-04-06 11:49:38.891 +0000"
"314","F","Alberta","Canada : Alberta","T","F","2023-04-05 19:03:06.000 +0000",,,,"3281292","Alberta","207",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"315","F","TOP","Canada : Toronto : Remote - CAN, Toronto","T","F","2023-04-05 19:03:08.000 +0000",,,,"3281293","Remote - CAN, Toronto","209",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"316","T","PLO","Poland : Office - Warsaw","T","F","2023-04-05 19:03:15.000 +0000",,,,"3281294","Office - Warsaw","211",,"51",,false,,"2023-04-06 11:49:38.891 +0000"
"413","F","AUOR","Australia : Remote - Australia","T","F","2023-04-05 19:03:05.000 +0000",,,,"3281391","Remote - Australia","210",,"43",,false,,"2023-04-06 11:49:38.891 +0000"
"414","F","ALBR","Canada : Alberta : Remote - CAN, Alberta","T","F","2023-04-05 19:03:06.000 +0000",,,,"3281392","Remote - CAN, Alberta","314",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"415","F","British_Columbia","Canada : British Columbia","T","F","2023-04-05 19:03:07.000 +0000",,,,"3281393","British Columbia","207",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"416","F","BCR","Canada : British Columbia : Remote - CAN, British Columbia","T","F","2023-04-05 19:03:07.000 +0000",,,,"3281394","Remote - CAN, British Columbia","415",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"417","F","Ontario","Canada : Ontario","T","F","2023-04-05 19:03:07.000 +0000",,,,"3281395","Ontario","207",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"418","F","ONR","Canada : Ontario : Remote - CAN, Ontario","T","F","2023-04-05 19:03:08.000 +0000",,,,"3281396","Remote - CAN, Ontario","417",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"419","T","TOR","Canada : Toronto : Office - Toronto","T","F","2023-04-05 19:03:08.000 +0000",,,,"3281397","Office - Toronto","209",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"420","F","Manitoba","Canada : Manitoba","T","F","2023-04-05 19:03:09.000 +0000",,,,"3281398","Manitoba","207",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"421","F","MANR","Canada : Manitoba : Remote - CAN, Manitoba","T","F","2023-04-05 19:03:10.000 +0000",,,,"3281399","Remote - CAN, Manitoba","420",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"422","F","Quebec","Canada : Quebec","T","F","2023-04-05 19:03:11.000 +0000",,,,"3281400","Quebec","207",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"423","F","QCR","Canada : Quebec : Remote - CAN, Quebec","T","F","2023-04-05 19:03:11.000 +0000",,,,"3281401","Remote - CAN, Quebec","422",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"424","T","MTLO","Canada : Quebec : Office - Montreal","T","F","2023-04-05 19:03:11.000 +0000",,,,"3281402","Office - Montreal","422",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"425","T","MTO","Canada : Quebec : Office - Montreal #2","T","F","2023-04-05 19:03:12.000 +0000",,,,"3281403","Office - Montreal #2","422",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"426","F","Nova_Scotia","Canada : Nova Scotia","T","F","2023-04-05 19:03:13.000 +0000",,,,"3281404","Nova Scotia","207",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"427","T","HFXO","Canada : Nova Scotia : Office - Halifax","T","F","2023-04-05 19:03:14.000 +0000",,,,"3281405","Office - Halifax","426",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"428","F","NSR","Canada : Nova Scotia : Remote - CAN, Nova Scotia","T","F","2023-04-05 19:03:14.000 +0000",,,,"3281406","Remote - CAN, Nova Scotia","426",,"27, 38, 39, 40, 41, 56, 58",,false,,"2023-04-06 11:49:38.891 +0000"
"429","F","PLP","Poland : Remote - POL, Warsaw","T","F","2023-04-05 19:03:16.000 +0000",,,,"3281407","Remote - POL, Warsaw","211",,"51",,false,,"2023-04-06 11:49:38.891 +0000"
"430","F","PLR","Poland : Remote - Poland","T","F","2023-04-05 19:03:16.000 +0000",,,,"3281408","Remote - Poland","211",,"51",,false,,"2023-04-06 11:49:38.891 +0000"
"431","T","Spain","Spain","T","F","2023-04-05 19:03:17.000 +0000",,,,"3281409","Spain",,,"46",,false,,"2023-04-06 11:49:38.891 +0000"
