"ID","COUNTRY","CURRENCY","CUSTRECORD_COUPA_ACCS_SUB_INCLUDE","CUSTRECORD_ENTITY_ACCOUNT_ARI","CUSTRECORD_PSG_EI_DISABLE_COUNTRY","CUSTRECORD_PSG_EI_EMAIL_CUSTOM","CUSTRECORD_PSG_EI_LICENSE_FREE_COUNTRY","CUSTRECORD_PSG_EI_NOTIF_RECIPIENT","CUSTRECORD_PSG_EI_SENDER","CUSTRECORD_PSG_LC_TEST_MODE","DROPDOWNSTATE","EDITION","EMAIL","EXTERNALID","FAX","FEDERALIDNUMBER","FISCALCALENDAR","FULLNAME","GLIMPACTLOCKING","INTERCOACCOUNT","ISELIMINATION","ISINACTIVE","LASTMODIFIEDDATE","LEGALNAME","MAINADDRESS","NAME","PARENT","PURCHASEORDERAMOUNT","PURCHASEORDERQUANTITY","PURCHASEORDERQUANTITYDIFF","REPRESENTINGCUSTOMER","REPRESENTINGVENDOR","RETURNADDRESS","SHIPPINGADDRESS","SHOWSUBSIDIARYNAME","SSNORTIN","STATE","STATE1TAXNUMBER","TRANPREFIX","URL","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED","CUSTRECORD_ADVANCED_PDF_TEMPLATE","CUSTRECORD_BANK_REMITTANCE","CUSTRECORD_INCLUDE_IN_WORKDAY"
"3","US","1",,,,,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans I, LLC","F",,"F","T","2019-06-29 15:43:36.000 +0000","Affirm Operational Loans I, LLC","3","Affirm Operational Loans I, LLC","1",,,,,,,,"F",,"DE",,,,false,,"2022-06-30 21:53:17.495 +0000",,,
"4","US","1",,,,,,,,,"DE","US",,,,"47-4652575","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Loans I LLC","F",,"F","T","2019-06-29 15:43:36.000 +0000",,"4522","Affirm Loans I LLC","1",,,,,,,,"F",,"DE",,,,false,,"2022-06-30 21:53:17.495 +0000",,,
"8","US","1",,,,,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Sweep, LLC","F",,"F","T","2019-06-29 15:43:36.000 +0000",,"189348","Sweep, LLC","1",,,,,,,,"F",,"DE",,,,false,,"2022-06-30 21:53:17.495 +0000",,,
"21","US","1","F",,"F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : ALOFT Depositor, LLC","F",,"F","T","2021-09-16 05:03:17.000 +0000",,"2970435","ALOFT Depositor, LLC","1",,,,,,,,"F",,"DE",,,,false,,"2022-06-30 21:53:17.495 +0000",,,
"23","CA","1",,,,,,,,,"BC","CA",,,,"BC1204551","1","Affirm Holdings, Inc. : Affirm, Inc. : Inactive","F",,"F","T","2019-06-29 15:43:36.000 +0000",,"3140470","Inactive","1",,,,,,,,"F",,"BC",,,,false,,"2022-06-30 21:53:17.495 +0000",,,
"59","GB","2","F",,"F",,,,,"active",,"UK",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Pudding Holdings Ltd. (UK)","F",,"F","F","2022-12-20 20:56:08.000 +0000",,"3270468","Pudding Holdings Ltd. (UK)","1",,,,,,,,"F",,,,,,true,"2023-04-06 10:48:35.871 +0000","2023-04-06 10:48:35.947 +0000",,,
"60","GB","2","F",,"F",,,,,"active",,"UK",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Pudding Holdings Ltd. (UK) : Skytech Capital Ltd. (UK)","F",,"F","F","2022-12-20 20:57:07.000 +0000",,"3270469","Skytech Capital Ltd. (UK)","59",,,,,,,,"F",,,,,,true,"2023-04-06 10:48:35.871 +0000","2023-04-06 10:48:35.947 +0000",,,
"10","US","1","F","ODP3RRD3GXSHX7VW","F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans I Trust","F",,"F","F","2023-03-01 15:32:29.000 +0000",,"246354","Affirm Operational Loans I Trust","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"14","US","1","F","2BTCMMDNLTZ1R9I9","F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans II Trust","F",,"F","F","2023-03-01 15:32:32.000 +0000",,"316361","Affirm Operational Loans II Trust","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"16","US","1","F","7NI1K4ELW504GAG7","F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans III Trust","F",,"F","F","2023-03-01 15:32:34.000 +0000",,"877379","Affirm Operational Loans III Trust","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
